wavenumber,transmittance
2145.786284639, 0.981499996
2145.665755204, 0.973200007
2145.545225769, 0.968400085
2145.424774919, 0.977500119
2145.304245484, 0.980599989
2145.183716049, 0.984100055
2145.063186614, 0.981499996
2144.942657179, 0.975900029
2144.822127744, 0.973399931
2144.701598308, 0.965199904
2144.581068873, 0.968400085
2144.460539438, 0.979999868
2144.340010003, 0.979899906
2144.219480568, 0.9743999
2144.098951133, 0.978999899
2143.978421698, 0.983599897
2143.857892263, 0.980300102
2143.73725194, 0.968999857
2143.616722505, 0.971000144
2143.49619307, 0.970499985
2143.375663635, 0.966299836
2143.2551342, 0.962900079
2143.134604765, 0.962900079
2143.01407533, 0.9723
2142.893545894, 0.975299908
2142.773016459, 0.983699859
2142.652487024, 0.986000032
2142.531957589, 0.986099994
2142.411428154, 0.976199915
2142.290898719, 0.972000113
2142.170369284, 0.963600162
2142.049839849, 0.956699991
2141.929221704, 0.965899987
2141.808692269, 0.971699879
2141.688162834, 0.911999866
2141.567633398, 0.708300094
2141.447103963, 0.645700135
2141.326574528, 0.815199981
2141.206045093, 0.925400012
2141.085515658, 0.952499841
2140.964986223, 0.96969994
2140.844456788, 0.97699996
2140.723927353, 0.974000052
2140.603397917, 0.979200171
2140.482947067, 0.984900101
2140.362417632, 0.979300133
2140.241888197, 0.972200038
2140.121358762, 0.973800128
2140.000829327, 0.975800066
2139.880299892, 0.970899834
2139.759770457, 0.975299908
2139.639241022, 0.986199956
2139.518711586, 0.987299888
2139.398182151, 0.979099861
2139.277652716, 0.973599855
2139.157123281, 0.973399931
2139.036593846, 0.974800097
2138.916064411, 0.97390009
2138.795529913, 0.972599886
2138.675000478, 0.974199976
2138.554471043, 0.948000154
2138.433941608, 0.836800154
2138.313412173, 0.788599962
2138.192882738, 0.886199891
2138.072353303, 0.948499964
2137.951823868, 0.961399951
2137.831294432, 0.976099953
2137.710764997, 0.979400095
2137.590235562, 0.972200038
2137.469706127, 0.97130003
2137.349176692, 0.979200171
2137.228725842, 0.982400003
2137.108196407, 0.987099963
2136.987666972, 0.983699859
2136.867137537, 0.97699996
2136.746608101, 0.971200068
2136.626078666, 0.967099881
2136.505549231, 0.959699899
2136.385019796, 0.959400013
2136.264490361, 0.967099881
2136.143960926, 0.973200007
2136.023431491, 0.975299908
2135.902902056, 0.972699848
2135.78237262, 0.97390009
2135.661843185, 0.975199946
2135.541119216, 0.980599989
2135.420589781, 0.984000093
2135.300060345, 0.982300041
2135.17953091, 0.981499996
2135.059001475, 0.978700012
2134.93847204, 0.971100106
2134.817942605, 0.975000021
2134.69741317, 0.97699996
2134.576883735, 0.974900059
2134.4563543, 0.982400003
2134.335824864, 0.985700146
2134.215295429, 0.989400137
2134.094765994, 0.985399911
2133.974236559, 0.978899936
2133.853785709, 0.972499924
2133.733256274, 0.973599855
2133.612726839, 0.973399931
2133.492197404, 0.969100168
2133.371667969, 0.970499985
2133.251138533, 0.976899998
2133.130609098, 0.985599835
2133.010079663, 0.980300102
2132.889550228, 0.977199884
2132.769020793, 0.973599855
2132.648491358, 0.976199915
2132.527961923, 0.969899864
2132.407432488, 0.962900079
2132.286903052, 0.95560006
2132.166368555, 0.94990013
2132.04583912, 0.87879991
2131.925309685, 0.677200038
2131.80478025, 0.6559001
2131.684250815, 0.839499827
2131.563721379, 0.936400022
2131.443191944, 0.956699991
2131.322662509, 0.968500047
2131.202133074, 0.983000124
2131.081603639, 0.982000155
2130.961074204, 0.974000052
2130.840544769, 0.980300102
2130.720015333, 0.981799882
2130.599564484, 0.976700074
2130.479035048, 0.968999857
2130.358505613, 0.972200038
2130.237976178, 0.97390009
2130.117446743, 0.964099973
2129.996917308, 0.964000011
2129.876387873, 0.973599855
2129.755858438, 0.971900151
2129.635329003, 0.966199874
2129.514799567, 0.975000021
2129.394270132, 0.979600019
2129.273740697, 0.976199915
2129.153211262, 0.974900059
2129.032681827, 0.983000124
2128.91214733, 0.925200087
2128.791617894, 0.802499918
2128.671088459, 0.818600086
2128.550559024, 0.923500035
2128.430029589, 0.962499883
2128.309500154, 0.976399839
2128.188970719, 0.982200079
2128.068441284, 0.980599989
2127.947911849, 0.972699848
2127.827382413, 0.972900121
2127.706852978, 0.9723
2127.586323543, 0.961800148
2127.465794108, 0.966099911
2127.345343258, 0.983800169
2127.224813823, 0.986800077
2127.104284388, 0.973000083
2126.983754953, 0.970400023
2126.863225518, 0.977800005
2126.742696082, 0.987999971
2126.622166647, 0.990500068
2126.501637212, 0.986199956
2126.381107777, 0.975000021
2126.260578342, 0.962399921
2126.140048907, 0.963199966
2126.019519472, 0.977199884
2125.898990037, 0.988899978
2125.778460601, 0.985700146
2125.658009751, 0.984000093
2125.537480316, 0.986199956
2125.416950881, 0.988199895
2125.296421446, 0.981599958
2125.175892011, 0.972499924
2125.055362576, 0.973800128
2124.934833141, 0.975600142
2124.814303706, 0.9743999
2124.69377427, 0.983800169
2124.573244835, 0.986900039
2124.4527154, 0.976700074
2124.332185965, 0.973599855
2124.21165653, 0.973100045
2124.091127095, 0.977299846
2123.970403125, 0.982300041
2123.84987369, 0.989299826
2123.729344255, 0.98330001
2123.60881482, 0.971100106
2123.488285385, 0.966299836
2123.36775595, 0.967300153
2123.247226514, 0.975600142
2123.126697079, 0.9723
2123.006167644, 0.965299866
2122.885638209, 0.963800087
2122.765108774, 0.972000113
2122.644579339, 0.973399931
2122.524049904, 0.978300164
2122.403520468, 0.977400157
2122.282985971, 0.970400023
2122.162456536, 0.878699948
2122.041927101, 0.691600154
2121.921397666, 0.714399872
2121.800868231, 0.883599832
2121.680338795, 0.949300009
2121.55980936, 0.967500077
2121.439279925, 0.971699879
2121.31875049, 0.971900151
2121.198221055, 0.972100076
2121.07769162, 0.977099922
2120.957162185, 0.978300164
2120.83663275, 0.972800159
2120.715992427, 0.972800159
2120.595462992, 0.974499863
2120.474933557, 0.977800005
2120.354404122, 0.9743999
2120.233874687, 0.977600081
2120.113345252, 0.984900101
2119.992815817, 0.988700054
2119.872286381, 0.988400167
2119.751756946, 0.987800046
2119.631227511, 0.980699951
2119.510698076, 0.971900151
2119.390168641, 0.971900151
2119.269639206, 0.972399962
2119.149109771, 0.963199966
